prefix,function,expansion
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'pow', 'ln', 'x', 's-', '1']",x**2 + 2*x**2/log(x),x**2
"['add', 'pow', 'x', 's+', '2', 'asin', 'mul', 'x', 'pow', 'add', 's+', '1', 'add', 'x', 'pow', 'x', 's+', '2', 's-', '1']",x**2 + asin(x/(x**2 + x + 1)),x**4/2 + x**3/6 + x
"['pow', 'cos', 'add', 'x', 'pow', 'x', 's+', '6', 's+', '6']",cos(x**6 + x)**6,4*x**4 - 3*x**2 + 1
"['add', 'x', 'add', 'pow', 'x', 's+', '4', 'pow', 'x', 's+', '1', '8']",x**18 + x**4 + x,x**4 + x
"['add', 'mul', 's-', '1', 'x', 'sin', 'exp', 'x']",-x + sin(exp(x)),x**4*(-6*sin(1) - 5*cos(1))/24 - x**3*sin(1)/2 + x**2*(-sin(1) + cos(1))/2 + x*(-1 + cos(1)) + sin(1)
"['add', 'x', 'mul', 's+', '2', 'tan', 'x']",x + 2*tan(x),2*x**3/3 + 3*x
"['add', 'x', 'sin', 'pow', 'x', 'add', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '1', 'pow', 'x', 'mul', 's+', '3', 'pow', 's+', '2', 's-', '1', 'add', 'mul', 's-', '3', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '3', 'pow', 'x', 's+', '2']",x + sin(x**(-3*x**(5/2) - x**(3/2) + x**3 + 3*x**2)),sin(1)
"['add', 'mul', 's-', '1', 'x', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",x**2*sin(x) - x,x**3 - x
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 'x', 'sin', 'x']",-x**2 + x*sin(x) - x,-x**4/6 - x
"['mul', 's+', '2', 'sin', 'pow', 'ln', 'x', 'x']",2*sin(log(x)**x),2*sin(1)
"['add', 'E', 'mul', 's-', '1', 'x']",E - x,E - x
"['mul', 's-', '1', 'mul', 'x', 'sin', 'x']",-x*sin(x),x**4/6 - x**2
"['add', 'x', 'mul', 'x', 'acot', 'x']",x*acot(x) + x,x**4/3 - x**2 + x*(1 + pi/2)
"['pow', 'cos', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'sin', 'x', 's+', '5']",cos(3*x**2 - x*sin(x))**5,1 - 10*x**4
"['add', 'pow', 'x', 's+', '2', 'tan', 'pow', 'x', 's+', '2']",x**2 + tan(x**2),2*x**2
"['mul', 'pow', 'add', 'x', 'cos', 'x', 's-', '1', 'tan', 'x']",tan(x)/(x + cos(x)),-7*x**4/3 + 11*x**3/6 - x**2 + x
"['add', 'mul', 's-', '1', 'sin', 'add', 'x', 'acot', 'x', 'mul', 's+', '2', 'x']",2*x - sin(x + acot(x)),2*x - 1
"['add', 'pow', 'pow', 'x', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'x', 'acot', 'pow', 'x', 's+', '2']",-x + (1/x)**x + acot(x**2),1 + pi/2
"['exp', 'tan', 'mul', 's+', '2', 'x']",exp(tan(2*x)),6*x**4 + 4*x**3 + 2*x**2 + 2*x + 1
"['add', 'x', 'add', 'acot', 'pow', 'add', 'x', 'mul', 'x', 'cos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'tan', 'x']",x + tan(x) + acot(sqrt(x*cos(x) + x)),pi/2
"['add', 'x', 'mul', 'x', 'pow', 'cos', 'sin', 'x', 's-', '1']",x + x/cos(sin(x)),x**3/2 + 2*x
"['add', 'pow', 'x', 's+', '4', '8', 'add', 'mul', 's-', '1', 'x', 'mul', 's-', '1', 'mul', 'x', 'cos', 's+', '1']",x**48 - x - x*cos(1),x*(-1 - cos(1))
"['mul', 'x', 'pow', 'cos', 's+', '1', 's-', '3', '0']",x/cos(1)**30,x/cos(1)**30
"['mul', 's-', '1', 'tan', 'add', 'pow', 'x', 's+', '7', 'mul', 's-', '1', 'x']",-tan(x**7 - x),x**3/3 + x
"['add', 'mul', 's+', '2', 'pow', 'add', 's+', '1', 'x', 's-', '1', 'mul', 'pow', 'add', 's+', '1', 'x', 's-', '1', 'sin', 'x']",sin(x)/(x + 1) + 2/(x + 1),7*x**4/6 - 7*x**3/6 + x**2 - x + 2
"['add', 'mul', 'x', 'cos', 'x', 'add', 'mul', 's-', '1', 'mul', 'x', 'cos', 'pow', 'x', 's+', '3', 'cos', 'x']",x*cos(x) - x*cos(x**3) + cos(x),x**4/24 - x**3/2 - x**2/2 + 1
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'sin', 'x']",2*x**2 + sin(x),-x**3/6 + 2*x**2 + x
"['add', 'x', 'mul', 's-', '1', 'acot', 'pow', 'x', 's+', '4']",x - acot(x**4),x**4 + x - pi/2
"['add', 's+', '1', 'add', 'mul', 's-', '4', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '3', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '4', 'pow', 'add', 's+', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '3', 'pow', 'add', 's+', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",-x**4*sqrt(x + 1) - 3*x**4 - 4*x**3*sqrt(x + 1) - 4*x**3 + 1,-6*x**4 - 8*x**3 + 1
"['pow', 'cos', 'pow', 'x', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(cos(x**x)),sqrt(cos(1))
"['add', 'mul', 's-', '3', 'x', 'add', 'acos', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'cos', 'x']",-3*x + cos(x) + acos(2*x**2),x**4/24 - 5*x**2/2 - 3*x + 1 + pi/2
"['mul', 's+', '2', 'mul', 'x', 'pow', 's+', '2', 'sin', 'x']",2*2**sin(x)*x,x**4*(-4 + 4*log(2)**2)*log(2)/12 + x**3*log(2)**2 + 2*x**2*log(2) + 2*x
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '1', 'pow', 'sin', 'pow', 'x', 's+', '7', 's+', '3', 'add', 'mul', 's+', '2', 'x', 'add', 'mul', 's-', '3', 'mul', 'x', 'pow', 'sin', 'pow', 'x', 's+', '7', 's+', '2', 'mul', 's-', '3', 'mul', 'pow', 'x', 's+', '2', 'sin', 'pow', 'x', 's+', '7']",-x**3 - 3*x**2*sin(x**7) - 3*x*sin(x**7)**2 + 2*x - sin(x**7)**3,-x**3 + 2*x
"['add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's-', '2', '0', 'mul', 'pow', 'x', 's+', '6', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's-', '1', '0', 'mul', 'pow', 'x', 's+', '5', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's-', '5', 'mul', 'x', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's-', '5', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's-', '5', 'mul', 'pow', 'x', 's+', '8', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '3', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'add', 'mul', 's+', '1', '5', 'mul', 'pow', 'x', 's+', '4', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1', 'mul', 's+', '2', '0', 'mul', 'pow', 'x', 's+', '7', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 's-', '1']",-5*x**8/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) + 20*x**7/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) - 20*x**6/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) + x**5 - 10*x**5/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) + 15*x**4/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) + 10*x**3/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) - 5*x**2/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) - 5*x/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1) - 1/(x**5 - 5*x**4 + 10*x**3 - 10*x**2 + 5*x - 1),255*x**4 + 125*x**3 + 45*x**2 + 10*x + 1
"['pow', 'add', 'exp', 'x', 'exp', 'pow', 'x', 'add', 's+', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(exp(x) + exp(x**(x + 1))),sqrt(2)
"['pow', 'add', 'mul', 's-', '1', 'x', 'acos', 'x', 'x']",(-x + acos(x))**x,x**4*(-2*(4 + 256/pi**2)/pi - 192*log(pi/2)/pi**2 - 48*log(pi/2)**2/pi + log(pi/2)**4 + 192/pi**2)/24 + x**3*(-48/pi**2 - 24*log(pi/2)/pi + log(pi/2)**3)/6 + x**2*(-8/pi + log(pi/2)**2)/2 + x*log(pi/2) + 1
"['pow', 'mul', 's-', '1', 'sin', 'add', 's-', '1', 'add', 'x', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(-sin(x**2 + x - 1)),x**4*(-25/4 - 3*cos(1)/sin(1) - 17*cos(1)**2/(4*sin(1)**2) - 9*cos(1)**3/(2*sin(1)**3) - 15*cos(1)**4/(16*sin(1)**4))*sqrt(sin(1))/24 + x**3*(-3 - 3*cos(1)**2/(2*sin(1)**2) - cos(1)/(4*sin(1)) - 3*cos(1)**3/(8*sin(1)**3))*sqrt(sin(1))/6 + x**2*(-cos(1)/sin(1) - 1/2 - cos(1)**2/(4*sin(1)**2))*sqrt(sin(1))/2 - x*cos(1)/(2*sqrt(sin(1))) + sqrt(sin(1))
"['add', 'x', 'pow', 'acot', 'x', 's+', '4']",x + acot(x)**4,x**4*(24 - 24*pi**2)/24 + 2*pi*x**3*(-3 + pi**2/4)/3 + 3*pi**2*x**2/2 + x*(1 - pi**3/2) + pi**4/16
"['pow', 'add', 's+', '1', 'x', 'mul', 's+', '5', 'x']",(x + 1)**(5*x),85*x**4/6 - 5*x**3/2 + 5*x**2 + 1
"['add', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '2', 'x']",2*x - 1/2,2*x - 1/2
"['mul', 'exp', 'x', 'mul', 'exp', 'cos', 'x', 'sin', 'x']",exp(x)*exp(cos(x))*sin(x),-E*x**4/2 - E*x**3/6 + E*x**2 + E*x
"['add', 'pow', 'sin', 'x', 's+', '5', 'mul', 's+', '3', 'x']",3*x + sin(x)**5,3*x
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'acot', 'pow', 'x', 's+', '3']",x**2 - x*acot(x**3),x**4 + x**2 - pi*x/2
"['add', 'mul', 's+', '3', 'mul', 'x', 'asin', 'x', 'asin', 'x']",3*x*asin(x) + asin(x),x**4/2 + x**3/6 + 3*x**2 + x
"['pow', 'exp', 'x', 'pow', 'x', 's+', '3']",exp(x)**(x**3),x**4 + 1
"['add', 'x', 'mul', 'pow', 'x', 's+', '2', 'tan', 'x']",x**2*tan(x) + x,x**3 + x
"['add', 'pow', 'x', 's+', '3', 'add', 'pow', 'asin', 'x', 's+', '3', 'add', 'mul', 's+', '3', 'mul', 'x', 'pow', 'asin', 'x', 's+', '2', 'mul', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'asin', 'x']",x**3 + 3*x**2*asin(x) + 3*x*asin(x)**2 + asin(x)**3,8*x**3
"['asin', 'add', 'x', 'pow', 'x', 'mul', 's+', '4', 'x']",asin(x + x**(4*x)),pi/2
"['cos', 'pow', 'sin', 'x', 'x']",cos(sin(x)**x),cos(1)
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'x', 'mul', 'x', 'pow', 'cos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x**4 + x*sqrt(cos(x)) - x,x**4 - x**3/4
"['add', 'mul', 's-', '1', '6', 'pow', 'x', 's+', '3', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 'x', 'cos', 'x']",-16*x**3 + 2*x**2 + x*cos(x),-33*x**3/2 + 2*x**2 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'cos', 'x']",x**2 - x*cos(x),x**3/2 + x**2 - x
"['mul', 'x', 'pow', 'acot', 'pow', 'x', 's+', '2', 's+', '2']",x*acot(x**2)**2,-pi*x**3 + pi**2*x/4
"['add', 'mul', 's-', '1', 'tan', 'mul', 's+', '2', 'x', 'mul', 's+', '2', 'x']",2*x - tan(2*x),-8*x**3/3
"['add', 'pow', 'cos', 'x', 's+', '5', 'add', 'pow', 'cos', 'x', 's+', '1', '0', 'add', 'mul', 's+', '5', 'pow', 'cos', 'x', 's+', '6', 'add', 'mul', 's+', '5', 'pow', 'cos', 'x', 's+', '9', 'add', 'mul', 's+', '1', '0', 'pow', 'cos', 'x', 's+', '7', 'mul', 's+', '1', '0', 'pow', 'cos', 'x', 's+', '8']",cos(x)**10 + 5*cos(x)**9 + 10*cos(x)**8 + 10*cos(x)**7 + 5*cos(x)**6 + cos(x)**5,210*x**4 - 120*x**2 + 32
"['mul', 'pow', 'x', 's+', '2', 'tan', 'x']",x**2*tan(x),x**3
"['add', 's-', '2', 'exp', 'x']",exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + x - 1
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'exp', 'x']",x**2 + x + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + 2*x + 1
"['pow', 'exp', 'mul', 'pow', 'x', 's+', '2', 'acos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(exp(x**2*acos(x))),pi**2*x**4/32 - x**3/2 + pi*x**2/4 + 1
"['sin', 'add', 'x', 'mul', 'pow', 's+', '2', 'x', 'pow', 'x', 'x']",sin(2**x*x**x + x),sin(1)
"['add', 'mul', 's-', '2', 'x', 'add', 'cos', 'x', 'tan', 'pow', 'x', 's+', '4']",-2*x + cos(x) + tan(x**4),25*x**4/24 - x**2/2 - 2*x + 1
"['add', 'mul', 's-', '1', 'x', 'cos', 'pow', 'x', 's+', '2']",-x + cos(x**2),-x**4/2 - x + 1
"['add', 'mul', 's-', '2', 'pow', 'x', 's+', '4', 'mul', 's-', '2', 'pow', 'x', 's+', '5']",-2*x**5 - 2*x**4,-2*x**4
"['mul', 'pow', 'x', 's+', '4', 'mul', 'exp', 'x', 'exp', 'pow', 'x', 's+', '3']",x**4*exp(x)*exp(x**3),x**4
"['mul', 'pow', 'x', 's+', '3', 'pow', 'add', 's+', '1', 'x', 's-', '1']",x**3/(x + 1),-x**4 + x**3
"['cos', 'add', 'x', 'mul', 's-', '1', 'exp', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",cos(x - exp(sqrt(x))),cos(1)
"['add', 's+', '1', 'pow', 'cos', 'mul', 's+', '4', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(cos(4*x**2)) + 1,2 - 4*x**4
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'x']",-x**3 + 2*x,-x**3 + 2*x
"['add', 'mul', 's+', '2', 'x', 'mul', 'x', 'acot', 'x']",x*acot(x) + 2*x,x**4/3 - x**2 + x*(pi/2 + 2)
"['add', 'mul', 's+', '3', 'x', 'add', 'cos', 'x', 'tan', 'pow', 'x', 's+', '2']",3*x + cos(x) + tan(x**2),x**4/24 + x**2/2 + 3*x + 1
"['add', 's+', '1', 'add', 'pow', 'cos', 'x', 's+', '6', 'add', 'mul', 's+', '6', 'pow', 'cos', 'x', 's+', '5', 'add', 'mul', 's+', '6', 'cos', 'x', 'add', 'mul', 's+', '1', '5', 'pow', 'cos', 'x', 's+', '2', 'add', 'mul', 's+', '1', '5', 'pow', 'cos', 'x', 's+', '4', 'mul', 's+', '2', '0', 'pow', 'cos', 'x', 's+', '3']",cos(x)**6 + 6*cos(x)**5 + 15*cos(x)**4 + 20*cos(x)**3 + 15*cos(x)**2 + 6*cos(x) + 1,68*x**4 - 96*x**2 + 64
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 'mul', 's+', '1', 'pow', 's+', '3', '2', 's-', '1', 'x']",2*x**2 + x/32,2*x**2 + x/32
"['add', 'pow', 'x', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'acos', 'x']",x**3 + x**2*acos(x),pi*x**2/2
"['add', 'x', 'add', 'pow', 'tan', 'x', 's+', '4', 'mul', 'x', 'pow', 'acot', 'acot', 'x', 's-', '1']",x + x/acot(acot(x)) + tan(x)**4,x**4*(-8*pi**2/((1 + pi**2/4)**3*acot(pi/2)**2) - 24/((1 + pi**2/4)**3*acot(pi/2)**4) + 8/((1 + pi**2/4)**2*acot(pi/2)**2) + 8/((1 + pi**2/4)*acot(pi/2)**2) + 24*pi/((1 + pi**2/4)**3*acot(pi/2)**3) + 24)/24 + x**3*(-3*pi/((1 + pi**2/4)**2*acot(pi/2)**2) + 6/((1 + pi**2/4)**2*acot(pi/2)**3))/6 - x**2/((1 + pi**2/4)*acot(pi/2)**2) + x*(1 + 1/acot(pi/2))
"['add', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '2', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",x**5 - x**2*sin(x) - 2*x**2,-x**3 - 2*x**2
"['sin', 'add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '6']",sin(x**6 + x**2),x**2
"['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 'pow', 'pi', 's+', '2', 'pow', 'x', 's+', '3']",pi**2*x**3/4,pi**2*x**3/4
"['add', 'mul', 's-', '1', 'sin', 'mul', 's+', '3', 'x', 'add', 'mul', 's+', '2', 'x', 'sin', 'x']",2*x + sin(x) - sin(3*x),13*x**3/3
"['add', 's+', '1', 'add', 'x', 'asin', 'mul', 's+', '2', 'x']",x + asin(2*x) + 1,4*x**3/3 + 3*x + 1
"['add', 'x', 'cos', 'add', 's-', '1', 'x']",x + cos(x - 1),x**4*cos(1)/24 - x**3*sin(1)/6 - x**2*cos(1)/2 + x*(sin(1) + 1) + cos(1)
"['cos', 'mul', 'x', 'cos', 'x']",cos(x*cos(x)),13*x**4/24 - x**2/2 + 1
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'acot', 'x']",-x**2 + acot(x),x**3/3 - x**2 - x + pi/2
"['acot', 'add', 's+', '1', 'add', 'x', 'pow', 'x', 's+', '2']",acot(x**2 + x + 1),5*x**3/12 - x**2/4 - x/2 + pi/4
"['add', 'x', 'add', 'pow', 'x', 's+', '3', 'pow', 'x', 's+', '4']",x**4 + x**3 + x,x**4 + x**3 + x
"['asin', 'sin', 'pow', 'x', 's+', '2']",asin(sin(x**2)),x**2
"['add', 'mul', 's-', '1', 'pow', 'sin', 'tan', 'x', 's+', '3', 'mul', 's+', '3', 'x']",3*x - sin(tan(x))**3,-x**3 + 3*x
"['add', 'x', 'add', 'pow', 'x', 's+', '4', 'mul', 's-', '1', 'sin', 'x']",x**4 + x - sin(x),x**4 + x**3/6
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'sin', 'pow', 'x', 's+', '6', 's+', '6', 'mul', 's+', '2', 'mul', 'x', 'pow', 'sin', 'pow', 'x', 's+', '6', 's+', '3']",x**2 + 2*x*sin(x**6)**3 + sin(x**6)**6,x**2
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '2', 'pow', 'x', 's+', '3']",-2*x**3 - x**2 + x,-2*x**3 - x**2 + x
"['mul', 'pow', 'x', 's+', '4', 'pow', 'cos', 'x', 's-', '1']",x**4/cos(x),x**4
"['asin', 'add', 'x', 'cos', 'x']",asin(x + cos(x)),pi/2
"['add', 'pow', 'x', 's+', '2', 'mul', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'pi']",x**2 - pi/2,x**2 - pi/2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '6', 'mul', 's-', '2', 'x']",-x**6 - 2*x,-2*x
"['add', 'x', 'add', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '4', 'pow', 'x', 's+', '6']",x**6 + x**4 + x**3 + x,x**4 + x**3 + x
"['add', 'x', 'mul', 's+', '2', 'mul', 'x', 'sin', 'x']",2*x*sin(x) + x,-x**4/3 + 2*x**2 + x
"['add', 'x', 'add', 'pow', 'x', 's+', '6', 'mul', 's-', '1', 'cos', 'mul', 's+', '2', 'x']",x**6 + x - cos(2*x),-2*x**4/3 + 2*x**2 + x - 1
"['cos', 'mul', 'mul', 's+', '1', 'pow', 's+', '8', 's-', '1', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",cos(sqrt(2)/8),cos(sqrt(2)/8)
"['mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'pow', 'x', 's+', '2', 's+', '2']",x**2*cos(x**2)**2,x**2
"['mul', 'pow', 'x', 's+', '3', 'cos', 'x']",x**3*cos(x),x**3
"['add', 'mul', 's+', '2', 'x', 'cos', 'add', 'x', 'mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'x', 's+', '2']",2*x + cos(x**2*tan(x)**2 + x),x**4/24 - x**2/2 + 2*x + 1
"['mul', 'pow', 'x', 's+', '3', 'acos', 'x']",x**3*acos(x),-x**4 + pi*x**3/2
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'sin', 'x']",-x**2 + x + sin(x),-x**3/6 - x**2 + 2*x
"['add', 'x', 'mul', 'x', 'pow', 'sin', 'x', 's+', '3']",x*sin(x)**3 + x,x**4 + x
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'exp', 'x']",-x**2 + x + exp(x),x**4/24 + x**3/6 - x**2/2 + 2*x + 1
"['add', 'pow', 'cos', 'x', 's+', '2', 'mul', 's-', '1', 'x']",-x + cos(x)**2,x**4/3 - x**2 - x + 1
"['add', 'mul', 's-', '1', 'sin', 'x', 'mul', 's+', '2', 'x']",2*x - sin(x),x**3/6 + x
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '8', 'pow', 'x', 's+', '3']",-8*x**3 + x**2 + x,-8*x**3 + x**2 + x
"['mul', 'pow', 'add', 'pow', 's+', '0', 'x', 'mul', 's-', '1', 'x', 's-', '1', 'cos', 'sin', 'cos', 'x']",cos(sin(cos(x)))/(0**x - x),cos(sin(1))
"['mul', 'x', 'cos', 'mul', 's+', '2', 'x']",x*cos(2*x),-2*x**3 + x
"['mul', 's-', '1', 'tan', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",-tan(x**2 - x),-x**4 + x**3/3 - x**2 + x
"['pow', 'cos', 'pow', 'cos', 'mul', 's+', '3', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(cos(cos(3*x)**2)),x**4*(-243*sin(1)**2/cos(1)**(3/2) - 324*sin(1)/sqrt(cos(1)) - 486*sqrt(cos(1)))/24 + 9*x**2*sin(1)/(2*sqrt(cos(1))) + sqrt(cos(1))
"['sin', 'tan', 'x']",sin(tan(x)),x**3/6 + x
"['sin', 'add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '2', 'mul', 's+', '2', 'mul', 'x', 'sin', 'pow', 'x', 's+', '2']",sin(x**2 + 2*x*sin(x**2) + x + sin(x**2)**2),x**4/2 + 11*x**3/6 + x**2 + x
