prefix,function,expansion
"['add', 'mul', 'x', 'acot', 'x', 'mul', 'pow', 'x', 's+', '3', 'mul', 'pow', 'ln', 'x', 's-', '3', 'mul', 'pow', 'sin', 'x', 's+', '3', 'acot', 'x']",x**3*sin(x)**3*acot(x)/log(x)**3 + x*acot(x),-x**2 + pi*x/2
"['acot', 'pow', 'x', 'add', 'x', 'pow', 'x', 's+', '5']",acot(x**(x**5 + x)),pi/4
"['add', 'pow', 'x', 's+', '2', 'cos', 'x']",x**2 + cos(x),x**4/24 + x**2/2 + 1
"['sin', 'pow', 'x', 's+', '2']",sin(x**2),x**2
"['add', 'pow', 'cos', 'x', 's+', '4', 'asin', 'x']",cos(x)**4 + asin(x),5*x**4/3 + x**3/6 - 2*x**2 + x + 1
"['acos', 'mul', 's+', '3', '2', 'pow', 'x', 's+', '9']",acos(32*x**9),pi/2
"['add', 'x', 'pow', 'x', 's+', '4']",x**4 + x,x**4 + x
"['tan', 'pow', 'x', 's+', '2']",tan(x**2),x**2
"['add', 'mul', 's+', '1', '6', '2', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '2', '1', '6', 'mul', 'pow', 'x', 's+', '4', 'acos', 'x', 'add', 'mul', 's-', '2', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'acos', 'x', 's+', '3', 'add', 'mul', 's+', '2', 'mul', 'x', 'pow', 'acos', 'x', 's+', '4', 'mul', 's+', '1', '0', '8', 'mul', 'pow', 'x', 's+', '3', 'pow', 'acos', 'x', 's+', '2']",162*x**5 - 216*x**4*acos(x) + 108*x**3*acos(x)**2 - 24*x**2*acos(x)**3 + 2*x*acos(x)**4,x**4*(-6144*pi - 4*pi**3)/24 + 48*pi**2*x**3 - 4*pi**3*x**2 + pi**4*x/8
"['mul', 'pow', 'x', 's+', '4', 'cos', 'x']",x**4*cos(x),x**4
"['mul', 's+', '2', '6', '2', '1', '4', '4', 'pow', 'add', 's+', '5', '3', '1', '4', '4', '1', 'add', 'pow', 'cos', 'mul', 's+', '4', 'x', 's+', '6', 'add', 'mul', 's-', '3', '5', '4', '2', '9', '4', 'cos', 'mul', 's+', '4', 'x', 'add', 'mul', 's-', '1', '4', '5', '8', '0', 'pow', 'cos', 'mul', 's+', '4', 'x', 's+', '3', 'add', 'mul', 's-', '5', '4', 'pow', 'cos', 'mul', 's+', '4', 'x', 's+', '5', 'add', 'mul', 's+', '1', '2', '1', '5', 'pow', 'cos', 'mul', 's+', '4', 'x', 's+', '4', 'mul', 's+', '9', '8', '4', '1', '5', 'pow', 'cos', 'mul', 's+', '4', 'x', 's+', '2', 's-', '1']",262144/(cos(4*x)**6 - 54*cos(4*x)**5 + 1215*cos(4*x)**4 - 14580*cos(4*x)**3 + 98415*cos(4*x)**2 - 354294*cos(4*x) + 531441),29*x**4 - 6*x**2 + 1
"['pow', 'add', 's+', '2', 'add', 'x', 'mul', 's-', '1', 'pow', 'tan', 'x', 's+', '4', 's-', '1']",1/(x - tan(x)**4 + 2),9*x**4/32 - x**3/16 + x**2/8 - x/4 + 1/2
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 's+', '1', 'mul', 's-', '1', 'x']",1 - x,1 - x
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['add', 'mul', 's-', '1', 'pow', 'acos', 'pow', 'x', 's+', '3', 's+', '6', 'mul', 'x', 'mul', 'pow', 'ln', 'x', 's-', '1', 'sin', 'x']",x*sin(x)/log(x) - acos(x**3)**6,-pi**6/64
"['mul', 's+', '2', 'x']",2*x,2*x
"['cos', 'mul', 'pow', 's+', '2', 'mul', 's+', '2', 'x', 'pow', 'x', 'mul', 's+', '2', 'x']",cos(2**(2*x)*x**(2*x)),cos(1)
"['add', 'pow', 'cos', 'x', 's-', '1', 'mul', 's-', '1', 'mul', 'x', 'pow', 'cos', 'x', 's-', '1']",-x/cos(x) + 1/cos(x),5*x**4/24 - x**3/2 + x**2/2 - x + 1
"['acos', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",acos(2*x**2),-2*x**2 + pi/2
"['pow', 'acot', 'cos', 'pow', 'x', 's+', '3', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(acot(cos(x**3))),sqrt(pi)/2
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 'mul', 's+', '2', 'x', 'acot', 'x']",x**2 + x + x**(2*x) + acot(x),1 + pi/2
"['mul', 's-', '1', 'pow', 'x', 's+', '2']",-x**2,-x**2
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['sin', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'x', 's-', '1']",sin(x**2/cos(x)),x**4/2 + x**2
"['add', 'x', 'pow', 'x', 's+', '3']",x**3 + x,x**3 + x
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'acot', 'x', 's+', '2', 'mul', 's-', '2', 'mul', 'x', 'acot', 'x']",x**2 - 2*x*acot(x) + x + acot(x)**2,-4*x**4/3 + pi*x**3/3 + 4*x**2 + x*(1 - 2*pi) + pi**2/4
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '6', 'mul', 'pow', 'x', 's+', '2', 'asin', 'pow', 'x', 's+', '2']",x**6 + x**3 + x**2*asin(x**2),x**4 + x**3
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'x', 'pow', 'acot', 'x', 's+', '5']",x + acot(x)**5,5*pi*x**4*(3 - pi**2)/6 + 5*pi**2*x**3*(-6 + pi**2/4)/12 + 5*pi**3*x**2/4 + x*(1 - 5*pi**4/16) + pi**5/32
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'mul', 's+', '4', 'pow', 'x', 's+', '2']",4*x**2 + x,4*x**2 + x
"['add', 'mul', 's-', '1', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2 - x,2*x**2 - x
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'sin', 'x']",x**2 + x*sin(x),-x**4/6 + 2*x**2
"['pow', 'add', 'mul', 's-', '1', 'x', 'sin', 's+', '1', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(-x + sin(1)),-5*x**4/(128*sin(1)**(7/2)) - x**3/(16*sin(1)**(5/2)) - x**2/(8*sin(1)**(3/2)) - x/(2*sqrt(sin(1))) + sqrt(sin(1))
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '5', 'add', 'pow', 'tan', 'x', 's+', '5', 'add', 'mul', 's+', '5', 'mul', 'x', 'pow', 'tan', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'mul', 'pow', 'x', 's+', '4', 'tan', 'x', 'add', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'x', 's+', '3', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '3', 'pow', 'tan', 'x', 's+', '2']",x**5 + 5*x**4*tan(x) + 10*x**3*tan(x)**2 + 10*x**2*tan(x)**3 + x**2 + 5*x*tan(x)**4 + tan(x)**5,x**2
"['pow', 'x', 's+', '4']",x**4,x**4
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '1', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '5']",-x**5 + x**3 + x**2 - x,x**3 + x**2 - x
"['add', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'sin', 'add', 'mul', 's+', '2', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'pi']",sqrt(2)*sin(2*x + pi/4)/2 - 1/2,x**4/3 - 2*x**3/3 - x**2 + x
"['add', 's+', '1', 'mul', 's-', '1', 'exp', 'sin', 's+', '1']",1 - exp(sin(1)),1 - exp(sin(1))
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'ln', 'acot', 'x']",-x**2 - x*log(acot(x)) + x,x**4*(-4 + 16/pi**2)/(6*pi) + 2*x**3/pi**2 + x**2*(-2 + 4/pi)/2 + x*(1 - log(pi/2))
"['pow', 'x', 's+', '2']",x**2,x**2
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'add', 'cos', 'add', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'x', 'sin', 'sin', 'x']",x + sin(sin(x)) + cos(x**2 + 2*x),x**4/6 - 7*x**3/3 - 2*x**2 + 2*x + 1
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 's+', '1', 'mul', 's-', '1', 'x']",1 - x,1 - x
"['sin', 'sin', 'x']",sin(sin(x)),-x**3/3 + x
"['pow', 'asin', 'mul', 's+', '2', 'x', 's+', '4']",asin(2*x)**4,16*x**4
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'mul', 's-', '1', 'cos', 'x', 'add', 'mul', 's-', '2', 'x', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'x', 's-', '1']",x**2/cos(x) - 2*x - cos(x),11*x**4/24 + 3*x**2/2 - 2*x - 1
"['sin', 'add', 'x', 'pow', 'x', 's+', '6']",sin(x**6 + x),-x**3/6 + x
"['add', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pow', 'x', 's+', '3', 'mul', 's-', '2', 'x']",x**3/2 - 2*x,x**3/2 - 2*x
"['mul', 's-', '1', 'pow', 'x', 's+', '2']",-x**2,-x**2
"['mul', 'x', 'tan', 'x']",x*tan(x),x**4/3 + x**2
"['add', 'pow', 'x', 's+', '6', 'exp', 'mul', 's+', '4', 'x']",x**6 + exp(4*x),32*x**4/3 + 32*x**3/3 + 8*x**2 + 4*x + 1
"['mul', 'pow', 'x', 's+', '3', 'pow', 'add', 'x', 'add', 'pow', 'x', 's+', '2', 'cos', 'x', 's-', '1']",x**3/(x**2 + x + cos(x)),-x**4 + x**3
"['mul', 's+', '3', 'x']",3*x,3*x
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'x', 'asin', 'x']",x**4 - x + asin(x),x**4 + x**3/6
"['add', 'mul', 's+', '2', 'x', 'cos', 'x']",2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
"['pow', 'x', 's+', '4']",x**4,x**4
"['sin', 'add', 'mul', 's-', '1', 'sin', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",sin(2*x**2 - sin(x)),-x**4 + x**3/3 + 2*x**2 - x
"['add', 'mul', 's+', '2', 'x', 'mul', 'x', 'sin', 'x']",x*sin(x) + 2*x,-x**4/6 + x**2 + 2*x
"['sin', 'tan', 'cos', 'mul', 's+', '2', 'x']",sin(tan(cos(2*x))),2*x**4*(1 + tan(1)**2)*(-3*(1 + tan(1)**2)*sin(tan(1)) + cos(tan(1)) + 6*cos(tan(1))*tan(1))/3 - 2*x**2*(1 + tan(1)**2)*cos(tan(1)) + sin(tan(1))
"['mul', 's+', '3', 'mul', 'x', 'sin', 'x']",3*x*sin(x),-x**4/2 + 3*x**2
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['ln', 'add', 'x', 'cos', 'x']",log(x + cos(x)),-5*x**4/6 + 5*x**3/6 - x**2 + x
"['cos', 'sin', 'pow', 'x', 's+', '2']",cos(sin(x**2)),1 - x**4/2
"['acos', 'add', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",acos(-x**2 + x),x**4/2 - x**3/6 + x**2 - x + pi/2
"['mul', 's+', '2', 'x']",2*x,2*x
"['sin', 's+', '1']",sin(1),sin(1)
"['exp', 'mul', 's+', '2', 'x']",exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'pow', 'x', 'mul', 's+', '3', 'pow', 's+', '2', 's-', '1', 'cos', 'cos', 'x']",-x**(3/2) - x**2 + cos(cos(x)),cos(1)
"['ln', 'add', 's+', '1', 'pow', 'x', 's+', '2']",log(x**2 + 1),-x**4/2 + x**2
"['ln', 'add', 's+', '1', 'x']",log(x + 1),-x**4/4 + x**3/3 - x**2/2 + x
"['add', 'pow', 'x', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x**3 + x**2*sqrt(1 - x**2),-x**4/2 + x**3 + x**2
"['pow', 'add', 's-', '1', 'acos', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x', 'x']",(acos(x**2 - x) - 1)**x,x**4*(log(-1 + pi/2)**4 + 12*log(-1 + pi/2)**2/(-1 + pi/2) + 12/(-1 + pi/2)**2 - 4*(3/(-1 + pi/2) + 6)*log(-1 + pi/2)/(-1 + pi/2) - (-24/(-1 + pi/2) - 8/(-1 + pi/2)**2 - 4)/(-1 + pi/2))/24 + x**3*(-(3/(-1 + pi/2) + 6)/(-1 + pi/2) + 6*log(-1 + pi/2)/(-1 + pi/2) + log(-1 + pi/2)**3)/6 + x**2*(log(-1 + pi/2)**2 + 2/(-1 + pi/2))/2 + x*log(-1 + pi/2) + 1
"['asin', 'x']",asin(x),x**3/6 + x
"['add', 'x', 'exp', 'mul', 's-', '1', 'x']",x + exp(-x),x**4/24 - x**3/6 + x**2/2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'mul', 's-', '1', 'asin', 'x', 'cos', 'x']",cos(x) - asin(x),x**4/24 - x**3/6 - x**2/2 - x + 1
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '4', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",x**4 + 2*x**3 + x**2,x**4 + 2*x**3 + x**2
"['pow', 'add', 's+', '1', 'tan', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(tan(x) + 1),-47*x**4/384 + 11*x**3/48 - x**2/8 + x/2 + 1
"['add', 'x', 'mul', 's-', '1', 'tan', 'mul', 's+', '2', 'x']",x - tan(2*x),-8*x**3/3 - x
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['add', 'mul', 's+', '2', 'x', 'cos', 'x']",2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
"['add', 'x', 'mul', 's-', '1', 'mul', 'x', 'pow', 'tan', 's+', '1', 's-', '1']",-x/tan(1) + x,x*(1 - 1/tan(1))
"['pow', 'sin', 'x', 's+', '2']",sin(x)**2,-x**4/3 + x**2
"['mul', 's+', '2', 'x']",2*x,2*x
"['cos', 'pow', 'pow', 'x', 'add', 's+', '1', 'mul', 's-', '2', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",cos((x**(1 - 2*x))**(-x**2)),cos(1)
"['mul', 's+', '2', 'pow', 'x', 's+', '3']",2*x**3,2*x**3
"['add', 'x', 'mul', 's-', '1', 'exp', 'x']",x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['mul', 'pow', 'x', 's+', '4', 'pow', 'cos', 'x', 's+', '4']",x**4*cos(x)**4,x**4
"['pow', 'x', 's+', '3']",x**3,x**3
"['pow', 'x', 's+', '2']",x**2,x**2
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['acot', 'x']",acot(x),x**3/3 - x + pi/2
"['add', 'mul', 'pow', 'x', 's+', '2', 'tan', 'x', 'mul', 'x', 'mul', 'sin', 'x', 'tan', 'x']",x**2*tan(x) + x*sin(x)*tan(x),2*x**3
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'asin', 'add', 's+', '1', 'x']",2*x**2 + asin(x + 1),pi/2
"['tan', 'add', 'x', 'mul', 'pow', 's+', '2', 'x', 'pow', 'pow', 'x', 's+', '2', 'x']",tan(2**x*(x**2)**x + x),tan(1)
"['add', 'pow', 'x', 's+', '6', 'add', 'mul', 's+', '2', 'x', 'cos', 'x']",x**6 + 2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '4', 'mul', 'x', 'exp', 'mul', 's+', '3', 'cos', 'add', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '3', 'x', 'add', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '3', 'exp', 'cos', 'add', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '3', 'x', 'add', 'mul', 's+', '6', 'mul', 'pow', 'x', 's+', '2', 'exp', 'mul', 's+', '2', 'cos', 'add', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '3', 'x', 'exp', 'mul', 's+', '4', 'cos', 'add', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '3', 'x']",x**4 - 4*x**3*exp(cos(sqrt(x) + 3*x)) + 6*x**2*exp(2*cos(sqrt(x) + 3*x)) - 4*x*exp(3*cos(sqrt(x) + 3*x)) + exp(4*cos(sqrt(x) + 3*x)),exp(4)
"['acot', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",acot(2*x**2),-2*x**2 + pi/2
"['add', 'mul', 's-', '1', 'x', 'tan', 'x']",-x + tan(x),x**3/3
"['add', 'pow', 'x', 's+', '3', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x**3 - x**2,x**3 - x**2
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'mul', 's-', '1', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'add', 'mul', 's-', '1', 'mul', 'x', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'add', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '5', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'add', 'mul', 's-', '1', 'mul', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'sin', 'x', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '4', 'mul', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'sin', 'x']",-x**5/(x**4 + 1) - x**4*sin(x)/(x**4 + 1) - x/(x**4 + 1) - sin(x)/(x**4 + 1) - 1/(x**4 + 1),x**4 + x**3/6 - 2*x - 1
"['add', 'mul', 's-', '2', 'x', 'cos', 'x']",-2*x + cos(x),x**4/24 - x**2/2 - 2*x + 1
"['mul', 's-', '1', 'tan', 'add', 'pow', 'x', 's+', '4', 'mul', 's-', '1', 'x']",-tan(x**4 - x),-x**4 + x**3/3 + x
"['add', 'mul', 'pow', 'x', 's+', '2', 'tan', 'mul', 'x', 'tan', 'x', 'mul', 's-', '2', 'mul', 'x', 'tan', 'mul', 'x', 'tan', 'x']",x**2*tan(x*tan(x)) - 2*x*tan(x*tan(x)),x**4 - 2*x**3
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['mul', 's+', '8', 'pow', 'x', 's+', '3']",8*x**3,8*x**3
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['mul', 's+', '3', 'pow', 'x', 's+', '3']",3*x**3,3*x**3
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'x']",-x**2 + 2*x,-x**2 + 2*x
"['cos', 'pow', 'x', 's+', '2']",cos(x**2),1 - x**4/2
"['mul', 's+', '2', 'pow', 'x', 's+', '4']",2*x**4,2*x**4
"['add', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'mul', 'x', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1']",x/(x**4 + 1) + 1/(x**4 + 1),-x**4 + x + 1
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 's+', '2', 'add', 'x', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",-x**3 + x**2 + x + 2,-x**3 + x**2 + x + 2
"['add', 's+', '1', 'add', 'x', 'add', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'x', 's-', '1']",x**2 + x**2/cos(x) + x + 1,x**4/2 + 2*x**2 + x + 1
"['mul', 's+', '2', 'mul', 'x', 'acot', 'pow', 'cos', 'x', 's+', '3']",2*x*acot(cos(x)**3),3*x**3/2 + pi*x/2
"['cos', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",cos(2*x**2),1 - 2*x**4
"['add', 'x', 'cos', 'mul', 'pow', 'x', 's+', '5', 'pow', 'cos', 'x', 's-', '1']",x + cos(x**5/cos(x)),x + 1
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x']",2*x**2*cos(x) + 2*x**2,-x**4 + 4*x**2
"['pow', 'x', 's+', '2']",x**2,x**2
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'x', 'mul', 's-', '1', 'sin', 'x']",x - sin(x),x**3/6
"['ln', 'cos', 'x']",log(cos(x)),-x**4/12 - x**2/2
"['tan', 'cos', 'mul', 'x', 'tan', 'x']",tan(cos(x*tan(x))),x**4*(-12*tan(1)**2 - 12)/24 + tan(1)
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['sin', 'add', 'x', 'pow', 'x', 's+', '2']",sin(x**2 + x),-x**4/2 - x**3/6 + x**2 + x
"['mul', 'pow', 'x', 's+', '3', 'tan', 'x']",x**3*tan(x),x**4
"['mul', 's+', '2', 'x']",2*x,2*x
"['pow', 'x', 's+', '2']",x**2,x**2
"['cos', 'pow', 'x', 'x']",cos(x**x),cos(1)
"['cos', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",cos(x**2 - x),-11*x**4/24 + x**3 - x**2/2 + 1
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '4', 'mul', 's+', '2', 'x']",-x**4 + 2*x,-x**4 + 2*x
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 'x', 'asin', 'x']",x + asin(x),x**3/6 + 2*x
"['add', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",-x**3 + x,-x**3 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",2*x**3 + x**2,2*x**3 + x**2
"['cos', 'cos', 'x']",cos(cos(x)),x**4*(-3*cos(1) - sin(1))/24 + x**2*sin(1)/2 + cos(1)
"['mul', 's+', '4', 'x']",4*x,4*x
"['mul', 'x', 'mul', 'exp', 'pow', 'x', 's+', '3', 'exp', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x']",x*exp(x**3)*exp(x**2*cos(x)),x**4 + x**3 + x
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '4', 'mul', 's-', '2', 'pow', 'x', 's+', '3']",x**4 - 2*x**3 + x**2,x**4 - 2*x**3 + x**2
"['add', 'pow', 'x', 's+', '1', '2', 'add', 'pow', 'acos', 'x', 's+', '2', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '6', 'acos', 'x']",x**12 + 2*x**6*acos(x) + acos(x)**2,x**4/3 - pi*x**3/6 + x**2 - pi*x + pi**2/4
"['pow', 'cos', 'x', 's+', '2']",cos(x)**2,x**4/3 - x**2 + 1
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'sin', 'add', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'pi']",x**2 - sqrt(2)*x*sin(x + pi/4),x**4/6 + x**3/2 - x
"['asin', 'add', 's+', '1', 'x']",asin(x + 1),pi/2
"['add', 's+', '1', 'x']",x + 1,x + 1
"['cos', 'add', 'pow', 'x', 'x', 'sin', 'pow', 'x', 's+', '5']",cos(x**x + sin(x**5)),cos(1)
"['acos', 'mul', 'x', 'sin', 'mul', 's+', '3', 'x']",acos(x*sin(3*x)),9*x**4/2 - 3*x**2 + pi/2
"['acos', 'pow', 'x', 's+', '2']",acos(x**2),-x**2 + pi/2
"['add', 'mul', 's+', '4', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'asin', 'x']",4*x**3 + 2*x**2*asin(x),6*x**3
"['tan', 'x']",tan(x),x**3/3 + x
"['mul', 's+', '2', 'x']",2*x,2*x
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['add', 'x', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 'x', 'asin', 'x']",2*x**2 + x*asin(x) + x,x**4/6 + 3*x**2 + x
"['add', 'mul', 's-', '2', 'pow', 'x', 's+', '5', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",-2*x**5 + 2*x**3,2*x**3
"['add', 's+', '1', 'x']",x + 1,x + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['sin', 'pow', 'x', 's+', '2']",sin(x**2),x**2
"['add', 's+', '1', 'x']",x + 1,x + 1
"['pow', 'x', 's+', '4']",x**4,x**4
"['pow', 'cos', 'x', 'sin', 'x']",cos(x)**sin(x),1 - x**3/2
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'cos', 'x']",x**2 + x*cos(x),-x**3/2 + x**2 + x
"['add', 'x', 'mul', 's-', '1', 'sin', 'sin', 'sin', 'x']",x - sin(sin(sin(x))),x**3/2
"['add', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'x']",x**3 + 2*x,x**3 + 2*x
"['mul', 'x', 'pow', 'add', 'pow', 'sin', 'add', 's+', '1', 'pow', 'x', 's+', '2', 's+', '3', 'mul', 's+', '2', 'x', 's-', '1']",x/(2*x + sin(x**2 + 1)**3),x**4*(-16/sin(1)**6 + 24*cos(1)/sin(1))/(2*sin(1)**6) + x**3*(-3*sin(1)**2*cos(1) + 4/sin(1)**3)/sin(1)**6 - 2*x**2/sin(1)**6 + x/sin(1)**3
"['cos', 'add', 'pow', 'x', 's+', '4', 'mul', 's-', '1', 'x']",cos(x**4 - x),x**4/24 - x**2/2 + 1
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['add', 'mul', 's+', '2', 'x', 'cos', 'add', 'x', 'pow', 'x', 's+', '3']",2*x + cos(x**3 + x),-23*x**4/24 - x**2/2 + 2*x + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['tan', 'x']",tan(x),x**3/3 + x
"['add', 'x', 'sin', 'mul', 's+', '2', 'x']",x + sin(2*x),-4*x**3/3 + 3*x
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'cos', 's+', '1']",x**2*cos(1) + x**2 + x,x**2*(cos(1) + 1) + x
